review,guest_satisfaction_overall,accuracy_rating,cleanliness_rating,location_rating,value_rating,new_price,log_price
55,91,9,9,10,9,131,0.25851404666900635
56,91,9,9,10,9,129,0.2348233461380005
57,90,9,9,10,9,127,0.21076332032680511
60,91,9,9,10,9,127,0.21076332032680511
61,91,9,9,10,9,128,0.2228403240442276
62,91,9,9,10,9,126,0.19859012961387632
62,91,9,9,10,9,124,0.17395223677158356
63,92,9,9,10,9,122,0.1489134430885315
64,92,9,9,10,9,124,0.17395223677158356
64,92,9,9,10,9,120,0.1234612762928009
64,92,9,9,10,9,118,0.09758103638887404
65,91,9,9,10,9,117,0.08447606861591339
65,91,9,9,10,9,109,-0.02458484657108783
66,91,9,9,10,9,111,0.0034129845444113
67,91,9,9,10,9,111,0.0034129845444113
68,91,9,9,10,9,111,0.0034129845444113
68,91,9,9,10,9,114,0.04447759687900543
71,90,9,9,10,9,113,0.03091078996658325
73,90,9,9,10,9,113,0.03091078996658325
70,92,9,9,10,9,141,0.3717888593673706
75,92,9,9,10,9,142,0.38267120718955994
77,93,9,9,10,9,141,0.3717888593673706
77,93,9,9,10,9,140,0.3608286380767822
77,93,9,9,10,9,141,0.3717888593673706
80,93,9,9,10,9,139,0.3497906029224396
82,92,9,9,10,9,137,0.3274737000465393
82,92,9,9,10,9,135,0.30482858419418335
83,92,9,9,10,9,136,0.316192626953125
84,92,9,9,10,9,130,0.24671459197998047
84,92,9,9,10,9,129,0.2348233461380005
85,92,9,9,10,9,121,0.13624022901058197
86,92,9,9,10,9,123,0.16148386895656586
87,92,9,9,10,9,122,0.1489134430885315
88,92,9,9,10,9,126,0.19859012961387632
90,93,9,9,10,9,125,0.1863207370042801
92,92,9,9,10,9,125,0.1863207370042801
31,95,0,0,0,0,75,-0.6002699136734009
31,95,0,0,0,0,75,-0.6002699136734009
34,96,9,10,10,9,74,-0.6209391951560974
35,96,10,10,9,9,75,-0.6002699136734009
39,96,10,10,9,9,73,-0.6418896317481995
40,96,9,10,9,9,72,-0.6631293892860413
41,96,9,10,9,9,72,-0.6631293892860413
41,96,9,10,9,9,70,-0.7065083980560303
41,96,9,10,9,9,69,-0.7286644577980042
41,96,9,10,9,9,69,-0.7286644577980042
41,96,9,10,9,9,51,-1.194129228591919
42,96,9,10,9,9,52,-1.1642285585403442
42,96,9,10,9,9,61,-0.9184235334396362
42,96,9,10,9,9,61,-0.9184235334396362
42,96,9,10,9,9,63,-0.8687468767166138
43,96,10,10,9,9,62,-0.8933847546577454
77,97,10,10,10,10,48,-1.2874815464019775
44,95,9,10,10,9,49,-1.2557313442230225
45,95,9,10,10,9,53,-1.1348973512649536
48,95,9,10,10,9,52,-1.1642285585403442
49,93,9,10,10,9,52,-1.1642285585403442
50,93,9,10,10,9,52,-1.1642285585403442
50,93,9,10,10,9,52,-1.1642285585403442
50,93,9,10,10,9,51,-1.194129228591919
52,93,9,10,10,9,50,-1.224622130393982
52,93,9,10,10,9,50,-1.224622130393982
52,93,9,10,10,9,49,-1.2557313442230225
52,93,9,10,10,9,48,-1.2874815464019775
52,93,9,10,10,9,48,-1.2874815464019775
52,93,9,10,10,9,45,-1.3868606090545654
53,93,9,10,10,9,46,-1.3530166149139404
53,93,9,10,10,9,46,-1.3530166149139404
55,93,9,10,10,9,41,-1.530205249786377
55,93,9,10,10,9,42,-1.4930986166000366
57,93,9,10,10,10,42,-1.4930986166000366
61,92,10,10,10,9,50,-1.224622130393982
83,96,10,10,10,9,99.66666412353516,-0.16242630779743197
85,96,10,10,10,10,101.83333587646484,-0.1293099969625473
88,96,10,10,10,10,99.83333587646484,-0.1598534882068634
88,96,10,10,10,10,98.66666412353516,-0.1779543161392212
93,96,10,10,10,10,98.66666412353516,-0.1779543161392212
94,96,10,10,10,10,99.66666412353516,-0.16242630779743197
99,96,10,10,10,10,97.66666412353516,-0.19364090263843536
100,96,10,10,10,10,96.66666412353516,-0.2094883024692535
103,96,10,10,10,10,95.5,-0.22818534076213837
104,96,10,10,10,10,96.5,-0.2121455669403076
104,96,10,10,10,10,93.5,-0.26077592372894287
104,96,10,10,10,10,92.33333587646484,-0.28011029958724976
104,96,10,10,10,10,91.33333587646484,-0.296878457069397
104,96,10,10,10,10,85,-0.4075385928153992
